Id,Name,Score,Genres,English,Japanese,Type,Episodes,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Min_Duration,Aired_Start,Aired_End,Premiered_Year,Premiered_Season
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,ナルト,TV,220,TV Tokyo,VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13,660,8,1830540,65586,23.0,"Oct 3, 2002","Feb 8, 2007",2002,Fall
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",One Piece,ONE PIECE,TV,Unknown,Fuji TV,Funimation,Toei Animation,Manga,24 min.,PG-13,95,31,1352724,126645,24.0,"Oct 20, 1999",?,1999,Fall
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,テニスの王子様,TV,178,Production I.G,VIZ Media,Trans Arts,Manga,22 min. per ep.,PG-13,675,1039,141832,3124,22.0,"Oct 10, 2001","Mar 23, 2005",2001,Fall
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",Unknown,リングにかけろ１,TV,12,Unknown,Unknown,Toei Animation,Manga,25 min. per ep.,PG,6493,7333,3648,16,25.0,"Oct 6, 2004","Dec 15, 2004",2004,Fall
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,スクールランブル,TV,26,TV Tokyo,Funimation,Studio Comet,Manga,23 min. per ep.,PG-13,625,514,275464,5137,23.0,"Oct 5, 2004","Mar 29, 2005",2004,Fall
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,砂ぼうず,TV,24,GDH,Funimation,Gonzo,Manga,24 min. per ep.,R-17+,1844,1284,111734,790,24.0,"Oct 6, 2004","Mar 30, 2005",2004,Fall
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TEXHNOLYZE,TV,22,Group TAC,Funimation,Madhouse,Original,23 min. per ep.,R+,896,823,182599,3671,23.0,"Apr 17, 2003","Sep 25, 2003",2003,Spring
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",Trinity Blood,トリニティ・ブラッド,TV,24,Unknown,Funimation,Gonzo,Light novel,24 min. per ep.,R-17+,2240,936,158343,1479,24.0,"Apr 29, 2005","Oct 28, 2005",2005,Spring
28,Yakitate!! Japan,7.95,"Comedy, Shounen",Yakitate!! Japan,焼きたて!! ジャぱん,TV,69,TV Tokyo,Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13,609,1666,80183,887,24.0,"Oct 12, 2004","Mar 14, 2006",2004,Fall
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",Unknown,ジパング,TV,26,Marvelous,Geneon Entertainment USA,Studio Deen,Manga,24 min. per ep.,PG-13,1565,3985,16652,152,24.0,"Oct 8, 2004","Apr 1, 2005",2004,Fall
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,TV Tokyo,ADV Films,Gainax,Original,24 min. per ep.,PG-13,208,54,1160651,71308,24.0,"Oct 4, 1995","Mar 27, 1996",1995,Fall
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion:Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,Movie,1,Movic,Manga Entertainment,Gainax,Original,1 hr. 44 min.,R-17+,1742,833,180681,588,104.0,"Mar 15, 1997",Unknown,Unknown,Unknown
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion:The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,1,TV Tokyo,Manga Entertainment,Gainax,Original,1 hr. 27 min.,R+,102,195,572080,17811,87.0,"Jul 19, 1997",Unknown,Unknown,Unknown
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,剣風伝奇ベルセルク,TV,25,VAP,Media Blasters,OLM,Manga,25 min. per ep.,R+,108,301,432190,18567,25.0,"Oct 8, 1997","Apr 1, 1998",1997,Fall
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,1,Bandai Visual,Manga Entertainment,Production I.G,Manga,1 hr. 22 min.,R+,236,265,468279,10362,82.0,"Nov 18, 1995",Unknown,Unknown,Unknown
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",Samurai X:Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,4,Aniplex,ADV Films,Studio Deen,Manga,30 min. per ep.,R-17+,37,637,228484,6111,30.0,"Feb 20, 1999","Sep 22, 1999",Unknown,Unknown
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,94,Aniplex,Media Blasters,Gallop,Manga,25 min. per ep.,PG-13,220,345,386195,11236,25.0,"Jan 10, 1996","Sep 8, 1998",1996,Winter
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,1,Fuji TV,ADV Films,Gallop,Manga,1 hr. 31 min.,R-17+,1397,2411,44334,107,91.0,"Dec 20, 1997",Unknown,Unknown,Unknown
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA,AKIRA（アキラ）,Movie,1,Mainichi Broadcasting System,Funimation,Tokyo Movie Shinsha,Manga,2 hr. 4 min.,R+,333,197,566538,9555,124.0,"Jul 16, 1988",Unknown,Unknown,Unknown
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,.hack//SIGN,TV,26,Bandai Visual,Funimation,Bee Train,Original,24 min. per ep.,PG-13,3687,940,158227,1359,24.0,"Apr 4, 2002","Sep 26, 2002",2002,Spring
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,ああっ女神さまっ,OVA,5,Bandai Visual,AnimEigo,AIC,Manga,30 min. per ep.,PG-13,2226,2360,46428,267,30.0,"Feb 21, 1993","May 17, 1994",Unknown,Unknown
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,ああっ女神さまっ,TV,24,Bandai Visual,Media Blasters,AIC,Manga,24 min. per ep.,PG-13,2116,1083,135747,1124,24.0,"Jan 7, 2005","Jul 8, 2005",2005,Winter
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,天使禁猟区,OVA,3,Bandai Visual,Media Blasters,Hal Film Maker,Manga,30 min. per ep.,R+,6823,2419,43960,215,30.0,"May 25, 2000","Aug 25, 2000",Unknown,Unknown
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,26,TV Tokyo Music,ADV Films,Bones,Manga,24 min. per ep.,PG-13,2529,2232,51022,290,24.0,"Apr 1, 2001","Sep 23, 2001",2001,Spring
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,藍より青し,TV,24,Movic,Funimation,J.C.Staff,Manga,23 min. per ep.,PG-13,3012,1465,94793,458,23.0,"Apr 11, 2002","Sep 26, 2002",2002,Spring
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Unknown,アップルシード,Movie,1,Mainichi Broadcasting System,Sentai Filmworks,Digital Frontier,Manga,1 hr. 45 min.,R-17+,3206,1901,65139,173,105.0,"Apr 17, 2004",Unknown,Unknown,Unknown
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",Unknown,アークザラッド,TV,26,Sony Pictures Entertainment,ADV Films,Bee Train,Game,22 min. per ep.,R-17+,5738,4259,14187,17,22.0,"Apr 5, 1999","Sep 11, 1999",1999,Spring
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",Unknown,アヴェンジャー,TV,13,Production I.G,Bandai Entertainment,Bee Train,Original,24 min. per ep.,R-17+,8501,4073,15779,21,24.0,"Oct 2, 2003","Dec 25, 2003",2003,Fall
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",Beck:Mongolian Chop Squad,ベック,TV,26,Marvelous,Funimation,Madhouse,Manga,25 min. per ep.,R-17+,221,570,255668,7038,25.0,"Oct 7, 2004","Mar 31, 2005",2004,Fall
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,BLUE GENDER,TV,26,Youmex,Funimation,AIC,Original,23 min. per ep.,R+,3455,1886,65360,389,23.0,"Oct 8, 1999","Mar 31, 2000",1999,Fall
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,ちょびっツ,TV,26,TBS,Funimation,Madhouse,Manga,24 min. per ep.,PG-13,1804,332,402646,3859,24.0,"Apr 3, 2002","Sep 25, 2002",2002,Spring
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,クロノクルセイド,TV,24,Lantis,ADV Films,Gonzo,Manga,23 min. per ep.,R-17+,1120,742,198007,2064,23.0,"Nov 25, 2003","Jun 10, 2004",2003,Fall
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,26,Kadokawa Shoten,ADV Films,Xebec,Manga,23 min. per ep.,PG-13,2761,891,167615,1523,23.0,"Apr 3, 2003","Sep 25, 2003",2003,Spring
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,26,Lantis,Unknown,feel.,Visual novel,24 min. per ep.,PG-13,4589,1852,67491,189,24.0,"Jul 5, 2003","Dec 27, 2003",2003,Summer
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,ディアーズ,TV,12,Bandai Visual,Discotek Media,Daume,Manga,23 min. per ep.,R+,5274,1146,128788,391,23.0,"Jul 11, 2004","Sep 26, 2004",2004,Summer
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,ローゼンメイデン,TV,12,Mellow Head,Sentai Filmworks,Nomad,Manga,24 min. per ep.,PG-13,1782,846,176775,2074,24.0,"Oct 8, 2004","Dec 24, 2004",2004,Fall
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Träumend,ローゼンメイデン トロイメント,TV,12,Mellow Head,Sentai Filmworks,Nomad,Manga,24 min. per ep.,PG-13,1146,1479,93768,516,24.0,"Oct 21, 2005","Jan 27, 2006",2005,Fall
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",Azumanga Daioh:The Animation,あずまんが大王 THE ANIMATION,TV,26,Genco,ADV Films,J.C.Staff,4-koma manga,24 min. per ep.,PG-13,555,554,262980,5181,24.0,"Apr 9, 2002","Oct 1, 2002",2002,Spring
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",Basilisk,バジリスク 甲賀忍法帖,TV,24,GDH,Funimation,Gonzo,Manga,24 min. per ep.,R-17+,1325,940,156661,1467,24.0,"Apr 13, 2005","Sep 21, 2005",2005,Spring
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",Black Cat,ブラックキャット,TV,23,GDH,Funimation,Gonzo,Manga,24 min. per ep.,PG-13,1965,622,231668,1955,24.0,"Oct 7, 2005","Mar 31, 2006",2005,Fall
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",Unknown,CLUSTER EDGE（クラスターエッジ）,TV,25,Bandai Visual,Sentai Filmworks,Sunrise,Original,24 min. per ep.,PG-13,6646,5061,9299,13,24.0,"Oct 5, 2005","Mar 29, 2006",2005,Fall
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,フルメタル・パニック！,TV,24,Kadokawa Shoten,ADV Films,Gonzo,Light novel,24 min. per ep.,R-17+,1146,322,411230,4417,24.0,"Jan 8, 2002","Jun 18, 2002",2002,Winter
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,12,Tatsunoko Production,ADV Films,Kyoto Animation,Light novel,24 min. per ep.,PG-13,452,571,254465,2988,24.0,"Aug 26, 2003","Oct 18, 2003",2003,Summer
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,13,Kadokawa Shoten,ADV Films,Kyoto Animation,Light novel,24 min. per ep.,R-17+,579,639,227927,1358,24.0,"Jul 14, 2005","Oct 20, 2005",2005,Summer
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",Gakuen Alice,学園アリス,TV,26,Aniplex,Nozomi Entertainment,Group TAC,Manga,25 min. per ep.,G,1158,1640,81446,1613,25.0,"Oct 30, 2004","May 14, 2005",2004,Fall
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",Fafner of the Blue Sky,蒼穹のファフナーDead Aggressor,TV,25,TV Tokyo Music,Funimation,Xebec,Original,24 min. per ep.,PG-13,2348,2523,40602,255,24.0,"Jul 5, 2004","Dec 27, 2004",2004,Summer
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,13,Starchild Records,Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13,1828,1550,88890,1036,25.0,"Oct 3, 2004","Dec 26, 2004",2004,Fall
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,13,Starchild Records,Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13,551,2075,56981,1014,25.0,"Oct 2, 2005","Dec 25, 2005",2005,Fall
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,SHUFFLE! (シャッフル!),TV,24,Xebec,Funimation,Asread,Visual novel,23 min. per ep.,R+,3231,600,240751,1572,23.0,"Jul 8, 2005","Jan 6, 2006",2005,Summer
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,機動戦士ガンダム,TV,43,Sotsu,Nozomi Entertainment,Sunrise,Original,25 min. per ep.,PG-13,867,1427,97216,1787,25.0,"Apr 7, 1979","Jan 26, 1980",1979,Spring
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",Mobile Suit Gundam:The 08th MS Team,機動戦士ガンダム 第08MS小隊,OVA,12,Atelier Musa,Bandai Entertainment,Sunrise,Original,25 min. per ep.,PG-13,511,1948,62655,911,25.0,"Jan 25, 1996","Jul 25, 1999",Unknown,Unknown
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam 0080:War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,OVA,6,Bandai Visual,Nozomi Entertainment,Sunrise,Original,27 min. per ep.,PG-13,677,2444,43308,717,27.0,"Mar 25, 1989","Aug 25, 1989",Unknown,Unknown
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Unknown,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,Movie,1,Sotsu,Bandai Entertainment,Sunrise,Original,52 min.,PG-13,4498,4660,11460,3,52.0,"Aug 1, 1998",Unknown,Unknown,Unknown
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",Mobile Suit Gundam 0083:Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY,OVA,13,Bandai Visual,Nozomi Entertainment,Sunrise,Original,30 min. per ep.,PG-13,2361,2791,33687,230,30.0,"May 23, 1991","Sep 24, 1992",Unknown,Unknown
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,50,Sotsu,Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13,655,2159,53822,1721,24.0,"Mar 2, 1985","Feb 22, 1986",1985,Spring
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,47,Sotsu,Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13,5111,2941,30758,130,24.0,"Mar 1, 1986","Jan 31, 1987",1986,Spring
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam:Char's Counterattack,機動戦士ガンダム 逆襲のシャア,Movie,1,Sotsu,Bandai Entertainment,Sunrise,Novel,1 hr. 59 min.,PG-13,1084,2773,34221,293,119.0,"Mar 12, 1988",Unknown,Unknown,Unknown
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam F91,機動戦士ガンダムＦ91,Movie,1,Sotsu,Nozomi Entertainment,Sunrise,Unknown,2 hr.,PG-13,5049,3387,23161,63,120.0,"Mar 16, 1991",Unknown,Unknown,Unknown
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,機動戦士Vガンダム,TV,51,TV Asahi,Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13,4632,3588,20794,95,24.0,"Apr 2, 1993","Mar 25, 1994",1993,Spring
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,49,TV Asahi,Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13,984,1118,132208,2538,24.0,"Apr 7, 1995","Mar 29, 1996",1995,Spring
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit Gundam Wing:Endless Waltz,新機動戦記ガンダムW エンドレス・ワルツ,OVA,3,Bandai Visual,Bandai Entertainment,Sunrise,Original,30 min. per ep.,PG-13,897,2512,41030,221,30.0,"Jan 25, 1997","Jul 25, 1997",Unknown,Unknown
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,機動新世紀ガンダムX,TV,39,TV Asahi,Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13,2228,3043,28862,189,24.0,"Apr 5, 1996","Dec 28, 1996",1996,Spring
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,機動戦士ガンダムSEED,TV,50,Sotsu,Bandai Entertainment,Sunrise,Original,24 min. per ep.,R-17+,850,1057,140346,3584,24.0,"Oct 5, 2002","Sep 27, 2003",2002,Fall
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Unknown,機動戦士ガンダムSEED DESTINY,TV,50,Sotsu,Bandai Entertainment,Sunrise,Original,24 min. per ep.,R-17+,2687,1530,90208,1206,24.0,"Oct 9, 2004","Oct 1, 2005",2004,Fall
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,∀ガンダム,TV,50,Sotsu,Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13,1018,2714,35670,760,24.0,"Apr 9, 1999","Apr 14, 2000",1999,Spring
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,49,TV Asahi,Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13,1396,2109,55463,896,24.0,"Apr 1, 1994","Mar 31, 1995",1994,Spring
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",Last Exile,LAST EXILE（ラストエグザイル）,TV,26,GDH,Funimation,Gonzo,Original,24 min. per ep.,PG-13,795,995,149528,1848,24.0,"Apr 8, 2003","Sep 30, 2003",2003,Spring
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,舞-HiME,TV,26,Bandai Visual,Funimation,Sunrise,Original,23 min. per ep.,PG-13,1698,1381,101495,1262,23.0,"Sep 30, 2004","Mar 31, 2005",2004,Fall
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",My-Otome,舞-乙HiME,TV,26,Bandai Visual,Funimation,Sunrise,Original,24 min. per ep.,PG-13,2308,2370,46018,333,24.0,"Oct 7, 2005","Mar 31, 2006",2005,Fall
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",Prétear:The New Legend of Snow White,新白雪姫伝説プリーティア,TV,13,Kadokawa Shoten,ADV Films,Hal Film Maker,Manga,23 min. per ep.,PG-13,2785,2162,53508,457,23.0,"Apr 4, 2001","Jun 27, 2001",2001,Spring
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",Air,AIR,TV,12,Pony Canyon,ADV Films,Kyoto Animation,Visual novel,24 min. per ep.,PG-13,2230,563,259381,2704,24.0,"Jan 7, 2005","Mar 25, 2005",2005,Winter
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",Unknown,愛してるぜ ベイベ★★,TV,26,Animax,Unknown,TMS Entertainment,Manga,25 min. per ep.,PG-13,1634,1529,89533,571,25.0,"Apr 3, 2004","Oct 9, 2004",2004,Spring
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",Red Riding Hood Chacha,赤ずきんチャチャ,TV,74,Nihon Ad Systems,Unknown,Gallop,Manga,24 min. per ep.,G,1941,4551,12006,88,24.0,"Jan 7, 1994","Jun 30, 1995",1994,Winter
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",妖しのセレス,TV,24,Bandai Visual,VIZ Media,Studio Pierrot,Manga,21 min. per ep.,R-17+,2641,2182,53189,535,21.0,"Apr 20, 2000","Sep 28, 2000",2000,Spring
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",Boys Be...,ボーイズ・ビー,TV,13,Unknown,Nozomi Entertainment,Hal Film Maker,Manga,23 min. per ep.,PG-13,6088,3665,20032,41,23.0,"Apr 11, 2000","Jul 4, 2000",2000,Spring
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",Hana Yori Dango,花より男子,TV,51,Unknown,VIZ Media,Toei Animation,Manga,25 min. per ep.,PG-13,1027,2293,48623,762,25.0,"Sep 8, 1996","Aug 31, 1997",1996,Fall
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Jing:King of Bandits,王ドロボウ JING,TV,13,Aniplex,ADV Films,Studio Deen,Manga,24 min. per ep.,PG-13,2625,2817,32988,210,24.0,"May 15, 2002","Aug 14, 2002",2002,Spring
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",Jing:King of Bandits - Seventh Heaven,王ドロボウ JING in Seventh Heaven,OVA,3,Aniplex,ADV Films,Studio Deen,Manga,30 min. per ep.,PG-13,2367,4619,11591,29,30.0,"Jan 21, 2004","Apr 28, 2004",Unknown,Unknown
