index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
58516,,,,,,,,,,"Katou, Kazue:Original Creator",,,,Ao no Exorcist: Yuki no Hate-hen,N/A,#5733,"12,910",0,0,0,"['Katou, Kazue', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy","Themes, 
MythologyMythology,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Prequel:: /anime/53889/Ao_no_Exorcist__Shimane_Illuminati-hen
53287,,,,,,,,,,"Yatate, Hajime:Original Creator","Murota, Yuuhei:Original Character Design",,,Love Live! Superstar!! 3rd Season,N/A,#6611,"9,109",0,0,0,"['Yatate, Hajime', 'Original Creator'], ['Murota, Yuuhei', 'Original Character Design']","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Broadcast, 
    Unknown","Studios, 
Sunrise","Source, 
  Other","Genre, 
Slice of LifeSlice of Life","Themes, 
Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6611",Prequel:: /anime/50203/Love_Live_Superstar_2nd_Season
56228,,,,,,,,,,"Yanase, Yuuji:Director","Hirabayashi, Sawako:Series Composition","Hyuuga, Moe:Music","Ookido, Izumi:Original Creator",Rekishi ni Nokoru Akujo ni Naru zo: Akuyaku Reijou ni Naru hodo Ouji no Dekiai wa Kasoku suru you desu!,N/A,#6930,"8,152",0,0,0,"['Yanase, Yuuji', 'Director'], ['Hirabayashi, Sawako', 'Series Composition'], ['Hyuuga, Moe', 'Music'], ['Ookido, Izumi', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Maho Film","Source, 
  Light novel","Genres, 
ComedyComedy,         FantasyFantasy,         RomanceRomance","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Demographic, 
ShoujoShoujo","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/161679/Rekishi_ni_Nokoru_Akujo_ni_Naru_zo__Akuyaku_Reijou_ni_Naru_hodo_Ouji_no_Dekiai_wa_Kasoku_suru_you_desu
57554,,,,,,,,,,"Watsuki, Nobuhiro:Original Creator",,,,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,N/A,#7043,"7,789",0,0,0,"['Watsuki, Nobuhiro', 'Original Creator']","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Broadcast, 
    Unknown","Studios, 
    None found, add some","Source, 
  Manga","Genre, 
ActionAction","Themes, 
HistoricalHistorical,         SamuraiSamurai","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan, Alternative version:: /anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan, Prequel:: /anime/50613/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_2023"
58511,,,,,,,,,,,,,,Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,N/A,#7621,"6,402",0,0,0,,"Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/128691/Mokushiroku_no_Yonkishi, Prequel:: /anime/51794/Nanatsu_no_Taizai__Mokushiroku_no_Yonkishi"
54853,,,,,,,,,,"Andou, Ryou:Director","Aketagawa, Jin:Sound Director","Momose, Yuuichirou:Script","Katou, Tatsuya:Music",Maou 2099,N/A,#8038,"5,635",0,0,0,"['Andou, Ryou', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Momose, Yuuichirou', 'Script'], ['Katou, Tatsuya', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
Aniplex","Licensors, 
    None found, add some","Studios, 
J.C.Staff","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         Sci-FiSci-Fi","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/138915/Maou_2099
53033,,,,,,,,,,"Kinoshita, Tetsuya:Producer","Okamoto, Sae:Director","Takadera, Takeshi:Sound Director","Sawano, Hiroyuki:Music",Mecha-ude (TV),N/A,#8196,"5,379",0,0,0,"['Kinoshita, Tetsuya', 'Producer'], ['Okamoto, Sae', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Sawano, Hiroyuki', 'Music']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
TriF Studio","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8196",Alternative version:: /anime/37760/Mecha-ude
57611,,,,,,,,,,"Watanabe, Ayumu:Director","Akao, Deko:Series Composition","Kurashima, Tomoyasu:Character Design",Shotan:Original Creator,Kimi wa Meido-sama.,N/A,#8241,"5,296",0,0,0,"['Watanabe, Ayumu', 'Director'], ['Akao, Deko', 'Series Composition'], ['Kurashima, Tomoyasu', 'Character Design'], ['Shotan', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Felix Film","Source, 
  Web manga","Genre, 
ComedyComedy","Theme, 
Romantic SubtextRomantic Subtext","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/127941/Kimi_wa_Meido-sama
57362,,,,,,,,,,"Komaya, Kenichiro:Director","Yamada, Yuka:Script","Tabuchi, Natsumi:Music",Rikachi:Original Creator,Hoshifuru Oukoku no Nina,N/A,#9216,"3,807",0,0,0,"['Komaya, Kenichiro', 'Director'], ['Yamada, Yuka', 'Script'], ['Tabuchi, Natsumi', 'Music'], ['Rikachi', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Signal.MD","Source, 
  Manga","Genres, 
FantasyFantasy,         RomanceRomance","Demographic, 
JoseiJosei","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/122110/Hoshifuru_Oukoku_no_Nina
56647,,,,,,,,,,"Habara, Kumiko:Director","Kameyama, Toshiki:Sound Director","Hayashi, Yuuki:Music","Ihara, Kenta:Series Composition",Ao no Miburo,N/A,#9277,"3,719",0,0,0,"['Habara, Kumiko', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Hayashi, Yuuki', 'Music'], ['Ihara, Kenta', 'Series Composition']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Maho Film","Source, 
  Manga","Genre, 
ActionAction","Themes, 
HistoricalHistorical,         SamuraiSamurai","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/141087/Ao_no_Miburo
56843,,,,,,,,,,"Koga, Kazuomi:Director",ASOBI Doumei:Theme Song Performance,Nasuo☆:Theme Song Performance,Technoboys Pulcraft Green-Fund:Music,Goukon ni Ittara Onna ga Inakatta Hanashi,N/A,#9373,"3,618",0,0,0,"['Koga, Kazuomi', 'Director'], ['ASOBI Doumei', 'Theme Song Performance'], ['Nasuo☆', 'Theme Song Performance'], ['Technoboys Pulcraft Green-Fund', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Ashi Productions","Source, 
  Web manga","Genres, 
ComedyComedy,         RomanceRomance","Themes, 
Adult CastAdult Cast,         CrossdressingCrossdressing","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/142799/Goukon_ni_Ittara_Onna_ga_Inakatta_Hanashi
57360,,,,,,,,,,"Hiraoka, Masahiro:Director","Mima, Masafumi:Sound Director","Nagai, Shingo:Script","Miyazaki, Makoto:Music",Kabushikigaisha Magi-Lumière,N/A,#9789,"3,155",0,0,0,"['Hiraoka, Masahiro', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Nagai, Shingo', 'Script'], ['Miyazaki, Makoto', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
J.C.Staff,       Studio Moe","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy","Themes, 
Adult CastAdult Cast,         Mahou ShoujoMahou Shoujo,         WorkplaceWorkplace","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/142224/Kabushikigaisha_Magi-Lumière
57944,,,,,,,,,,"Oonishi, Keisuke:Director","Sunayama, Kurasumi:Series Composition","Yano, Tatsuya:Music","Lanthanum, Kakao:Original Character Design","Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki",N/A,#10374,"2,604",0,0,0,"['Oonishi, Keisuke', 'Director'], ['Sunayama, Kurasumi', 'Series Composition'], ['Yano, Tatsuya', 'Music'], ['Lanthanum, Kakao', 'Original Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Studio Elle","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10374",Adaptation:: /manga/166573/Party_kara_Tsuihou_sareta_Sono_Chiyushi_Jitsu_wa_Saikyou_ni_Tsuki
56420,,,,,,,,,,"Yamamoto, Junichi:Director","Takayama, Shinobu:Original Creator","Satou, Masaki:Character Design","Murai, Yuu:Series Composition",Haigakura,N/A,#10402,"2,588",0,0,0,"['Yamamoto, Junichi', 'Director'], ['Takayama, Shinobu', 'Original Creator'], ['Satou, Masaki', 'Character Design'], ['Murai, Yuu', 'Series Composition']","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Broadcast, 
    Unknown","Studios, 
Typhoon Graphics","Source, 
  Manga","Genre, 
FantasyFantasy","Demographic, 
JoseiJosei","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10402",Adaptation:: /manga/7429/Haigakura
55570,,,,,,,,,,"Konomi, Takeshi:Original Creator",,,,Shin Tennis no Oujisama: U-17 World Cup Semifinal,N/A,#10946,"2,177",0,0,0,"['Konomi, Takeshi', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Manga","Genre, 
SportsSports","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/12965/Shin_Tennis_no_Oujisama, Prequel:: /anime/50099/Shin_Tennis_no_Oujisama__U-17_World_Cup"
56967,,,,,,,,,,"Seshita, Hiroyuki:Director","Yamaguchi, Takayuki:Sound Director",Jin:Script,"Yoko, Taro:Original Creator",Kamierabi 2nd Season,N/A,#11212,"2,002",0,0,0,"['Seshita, Hiroyuki', 'Director'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Jin', 'Script'], ['Yoko, Taro', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Unend","Source, 
  Original","Genres, 
ActionAction,         SuspenseSuspense","Theme, 
High Stakes GameHigh Stakes Game","Duration, 
  22 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Prequel:: /anime/54798/Kamierabi
56662,,,,,,,,,,"Satou, Yuuzou:Director","Koizumi, Kisuke:Sound Director","Inagaki, Riichiro:Original Creator","Ikegami, Ryouichi:Original Character Design",Trillion Game,N/A,#11281,"1,951",0,0,0,"['Satou, Yuuzou', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Inagaki, Riichiro', 'Original Creator'], ['Ikegami, Ryouichi', 'Original Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
Madhouse","Source, 
  Manga","Genre, 
DramaDrama","Demographic, 
SeinenSeinen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/132071/Trillion_Game
52080,,,,,,,,,,"Yamakawa, Yoshiki:Director","Aketagawa, Jin:Sound Director","Yamakawa, Susumu:Script","Kawada, Ruka:Music",Murai no Koi,N/A,#11348,"1,910",0,0,0,"['Yamakawa, Yoshiki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Yamakawa, Susumu', 'Script'], ['Kawada, Ruka', 'Music']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Licensors, 
    None found, add some","Studios, 
J.C.Staff","Source, 
  Web manga","Genres, 
ComedyComedy,         RomanceRomance","Theme, 
Otaku CultureOtaku Culture","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/145457/Murai_no_Koi
58302,,,,,,,,,,Mankyuu:Director,"Iwata, Takeshi:Director","Yagihashi, Masazumi:Sound Director","Katou, Youichi:Script",The iDOLM@STER Shiny Colors 2nd Season,N/A,#12119,"1,458",0,0,0,"['Mankyuu', 'Director'], ['Iwata, Takeshi', 'Director'], ['Yagihashi, Masazumi', 'Sound Director'], ['Katou, Youichi', 'Script']","Status, 
  Not yet aired","Aired, 
  Oct 2024 to ?","Premiered, 
Fall 2024","Broadcast, 
    Unknown","Licensors, 
    None found, add some","Studios, 
Polygon Pictures","Source, 
  Game","Themes, 
Idols (Female)Idols (Female),         MusicMusic","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12119","Adaptation:: /manga/123353/The_iDOLMSTER_Shiny_Colors, Alternative setting:: /anime/10278/The_iDOLMSTER, Prequel:: /anime/54758/The_iDOLMSTER_Shiny_Colors"
